,team_founded,team_founded_bin,Count
0,1848.0,19th century,28
7,1868.0,19th century,152
14,1871.0,19th century,24
21,1874.0,19th century,218
28,1876.0,19th century,25
35,1877.0,19th century,102
42,1878.0,19th century,800
49,1879.0,19th century,286
56,1880.0,19th century,406
63,1881.0,19th century,489
70,1882.0,19th century,438
77,1884.0,19th century,211
84,1885.0,19th century,319
91,1886.0,19th century,299
98,1887.0,19th century,272
105,1888.0,19th century,148
112,1889.0,19th century,155
119,1890.0,19th century,268
126,1891.0,19th century,281
133,1892.0,19th century,1041
140,1893.0,19th century,825
147,1895.0,19th century,420
154,1896.0,19th century,742
161,1897.0,19th century,477
168,1898.0,19th century,635
176,1899.0,Before WWI,2063
183,1900.0,Before WWI,2044
190,1901.0,Before WWI,784
197,1902.0,Before WWI,534
204,1903.0,Before WWI,1341
211,1904.0,Before WWI,2246
218,1905.0,Before WWI,1598
225,1906.0,Before WWI,1139
232,1907.0,Before WWI,1380
239,1908.0,Before WWI,1072
246,1909.0,Before WWI,1368
253,1910.0,Before WWI,1280
260,1911.0,Before WWI,25
268,1912.0,Before WWII,513
275,1913.0,Before WWII,577
282,1914.0,Before WWII,188
289,1915.0,Before WWII,219
296,1916.0,Before WWII,95
303,1918.0,Before WWII,245
310,1919.0,Before WWII,1058
317,1920.0,Before WWII,1176
324,1921.0,Before WWII,934
331,1922.0,Before WWII,796
338,1923.0,Before WWII,1262
345,1924.0,Before WWII,605
352,1925.0,Before WWII,402
359,1926.0,Before WWII,678
366,1927.0,Before WWII,644
373,1928.0,Before WWII,357
380,1929.0,Before WWII,306
387,1930.0,Before WWII,142
394,1931.0,Before WWII,354
401,1932.0,Before WWII,236
408,1933.0,Before WWII,263
415,1934.0,Before WWII,102
422,1936.0,Before WWII,969
429,1937.0,Before WWII,288
436,1938.0,Before WWII,387
443,1939.0,Before WWII,497
450,1940.0,Before WWII,347
457,1941.0,Before WWII,31
465,1943.0,After WWII,231
472,1944.0,After WWII,268
479,1945.0,After WWII,422
486,1946.0,After WWII,441
493,1948.0,After WWII,515
500,1949.0,After WWII,168
507,1950.0,After WWII,611
514,1951.0,After WWII,154
521,1953.0,After WWII,255
528,1954.0,After WWII,249
535,1955.0,After WWII,331
542,1957.0,After WWII,142
549,1958.0,After WWII,62
556,1959.0,After WWII,28
564,1960.0,Mid 20th century,278
571,1962.0,Mid 20th century,146
578,1963.0,Mid 20th century,504
585,1964.0,Mid 20th century,98
592,1965.0,Mid 20th century,380
599,1966.0,Mid 20th century,817
606,1967.0,Mid 20th century,1095
613,1968.0,Mid 20th century,130
620,1969.0,Mid 20th century,292
627,1970.0,Mid 20th century,771
634,1971.0,Mid 20th century,393
641,1974.0,Mid 20th century,244
648,1978.0,Mid 20th century,95
656,1981.0,End 20th century,482
663,1983.0,End 20th century,246
670,1985.0,End 20th century,91
677,1986.0,End 20th century,289
684,1988.0,End 20th century,355
691,1989.0,End 20th century,47
698,1990.0,End 20th century,336
705,1991.0,End 20th century,218
712,1996.0,End 20th century,99
719,1999.0,End 20th century,24
727,2001.0,21st century,493
734,2002.0,21st century,29
741,2003.0,21st century,85
748,2004.0,21st century,47
755,2005.0,21st century,72
762,2006.0,21st century,162
769,2009.0,21st century,280
776,2010.0,21st century,212
783,2011.0,21st century,41
790,2012.0,21st century,91
797,2013.0,21st century,47
804,2015.0,21st century,48
811,2016.0,21st century,25
818,2017.0,21st century,86
825,2018.0,21st century,57
